8,ADD,2138159963
23,AND,463039
55,BSF,81
56,BSR,2
58,BT,1358
67,CALL_NEAR,1344378
70,CDQE,38
83,CMOVB,750
84,CMOVBE,49
85,CMOVL,60003
87,CMOVNB,20037
88,CMOVNBE,20012
90,CMOVNLE,6017869
93,CMOVNS,128
94,CMOVNZ,100051
98,CMOVZ,121400
99,CMP,1649340842
108,CMPXCHG,20053
116,CPUID,14
117,CQO,1
145,DEC,20222
147,DIV,41777
252,FXRSTOR,130
254,FXSAVE,130
268,IDIV,1
269,IMUL,70487767
271,INC,38658
293,JB,237538
294,JBE,154171
297,JL,160020001
298,JLE,658777425
299,JMP,146039203
301,JNB,672970
302,JNBE,415754
303,JNL,400665047
304,JNLE,420211427
307,JNS,80
308,JNZ,2218576
312,JS,100153
313,JZ,2856964
367,LDDQU,8
370,LEA,261931741
371,LEAVE,3
406,MOV,3186558053
408,MOVAPS,17
410,MOVD,1
413,MOVDQA,4
414,MOVDQU,113
435,MOVSD_XMM,2
441,MOVSX,325682
442,MOVSXD,144569906
445,MOVZX,855171
449,MUL,246242
456,NEG,60199
458,NOP,109398
467,NOT,10022
469,OR,257783
492,PALIGNR,8
502,PCMPEQB,103
567,PMOVMSKB,87
588,POP,2882805
606,PSHUFD,1
623,PSUBB,16
632,PTEST,16
638,PUNPCKLBW,2
642,PUSH,2883207
648,PXOR,112
663,RDTSC,9
700,RET_NEAR,1344374
701,ROL,46
702,ROR,5
714,SAR,1447
717,SBB,38
723,SETB,185173
734,SETNZ,100137
739,SETZ,185922
749,SHL,380684
752,SHR,487151
772,STOSB,4968
773,STOSD,20
774,STOSQ,398
777,SUB,216236444
784,SYSCALL,40123
791,TEST,3200710
1540,XOR,1298653
3000,*total,9482785066
3002,*stack-read,145207758
3003,*stack-write,6989154
3004,*iprel-read,1151723956
3005,*iprel-write,13345
3007,*mem-read-1,1761490
3008,*mem-read-2,29705
3010,*mem-read-4,2279337892
3014,*mem-read-8,13380011
3022,*mem-read-16,151
3518,*mem-read-512,130
3527,*mem-write-1,682137
3528,*mem-write-2,21986
3530,*mem-write-4,821167578
3534,*mem-write-8,6426952
3542,*mem-write-16,17
4038,*mem-write-512,130
